date,sentiment_bullish,sentiment_bearish,sentiment_neutral,sentiment_net,headline_count
2025-12-29,1.0,0.0,0.0,1.0,1
2025-12-30,0.0,0.0,1.0,0.0,1
2026-01-05,0.5,0.0,0.5,0.5,2
2026-01-06,1.0,0.0,0.0,1.0,2
2026-01-07,0.0,0.0,1.0,0.0,1
2026-01-08,0.0,0.0,1.0,0.0,1
2026-01-09,0.0,0.0,1.0,0.0,1
2026-01-12,1.0,0.0,0.0,1.0,1
2026-01-14,1.0,0.0,0.0,1.0,1
2026-01-15,1.0,0.0,0.0,1.0,1
2026-01-20,0.0,0.0,1.0,0.0,1
2026-01-21,1.0,0.0,0.0,1.0,1
2026-01-22,1.0,0.0,0.0,1.0,1
2026-01-23,0.0,0.0,1.0,0.0,1
2026-03-05,0.26666666666666666,0.0,0.7333333333333333,0.26666666666666666,15
2026-03-06,0.25,0.041666666666666664,0.7083333333333334,0.20833333333333334,24
2026-03-07,0.0,0.125,0.875,-0.125,16
